id,digit,prop1,prop2
1,1,0.3559322033898305,0.4444444444444444
2,1,0.4067796610169492,0.8888888888888888
3,3,0.7457627118644068,0.2222222222222222
4,1,0.2542372881355932,0.7777777777777778
5,3,0.5932203389830508,0.6666666666666666
6,3,0.711864406779661,0.3333333333333333
7,1,0.2542372881355932,1
8,1,0.3559322033898305,0.3333333333333333
9,1,0.3220338983050847,0.7777777777777778
10,3,0.8305084745762712,0.5555555555555556
11,3,0.3559322033898305,1
12,1,0.3559322033898305,0.7777777777777778
13,3,0.3728813559322034,0.2222222222222222
14,3,0.6779661016949152,0.6666666666666666
15,3,0.5084745762711864,0.1111111111111111
16,1,0.3898305084745763,0.2222222222222222
17,1,0.4067796610169492,0.6666666666666666
18,1,0.3728813559322034,1
19,1,0.2542372881355932,1
20,3,0.5932203389830508,0.5555555555555556
21,1,0.3728813559322034,0.5555555555555556
22,1,0.4576271186440678,0.4444444444444444
23,3,0.2711864406779661,0.5555555555555556
24,3,0.576271186440678,0.2222222222222222
25,1,0.3389830508474576,0.4444444444444444
26,1,0.288135593220339,1
27,1,0.23728813559322035,0.8888888888888888
28,1,0.3898305084745763,0.6666666666666666
29,3,0.6440677966101694,0.2222222222222222
30,3,0.7966101694915254,0.3333333333333333
31,1,0.23728813559322035,0.6666666666666666
32,1,0.3898305084745763,0.4444444444444444
33,1,0.3050847457627119,0.4444444444444444
34,1,0.4406779661016949,1
35,3,0.6271186440677966,0.3333333333333333
36,1,0.3559322033898305,0.4444444444444444
37,3,0.576271186440678,0.4444444444444444
38,3,0.5084745762711864,0.2222222222222222
39,3,0.7796610169491526,0.2222222222222222
40,1,0.3898305084745763,0.5555555555555556
41,3,0.5423728813559322,0.4444444444444444
42,1,0.3220338983050847,0.4444444444444444
43,1,0.4576271186440678,0.7777777777777778
44,3,0.711864406779661,0.3333333333333333
45,3,0.6610169491525424,0.3333333333333333
46,1,0.288135593220339,1
47,3,0.6271186440677966,0.2222222222222222
48,1,0.3389830508474576,1
49,1,0.4067796610169492,0.3333333333333333
50,3,0.6779661016949152,0.3333333333333333
51,1,0.3559322033898305,0.5555555555555556
52,3,0.4745762711864407,0.4444444444444444
53,1,0.423728813559322,0.4444444444444444
54,1,0.3728813559322034,0.8888888888888888
55,3,0.711864406779661,0.4444444444444444
56,1,0.5932203389830508,0.6666666666666666
57,3,0.2711864406779661,0.4444444444444444
58,1,0.4067796610169492,0.6666666666666666
59,3,0.6271186440677966,0.3333333333333333
60,3,0.7288135593220338,0.2222222222222222
61,1,0.423728813559322,0.7777777777777778
62,3,0.288135593220339,0.5555555555555556
63,1,0.4406779661016949,0.6666666666666666
64,3,0.5932203389830508,0.1111111111111111
65,3,0.6271186440677966,0.5555555555555556
66,1,0.3559322033898305,0.6666666666666666
67,1,0.2542372881355932,0.6666666666666666
68,1,0.2711864406779661,0.4444444444444444
69,3,0.6610169491525424,0.2222222222222222
70,3,0.6440677966101694,0
71,1,0.3559322033898305,0.6666666666666666
72,3,0.4915254237288136,0.4444444444444444
73,3,0.6779661016949152,0.5555555555555556
74,1,0.3728813559322034,0.3333333333333333
75,1,0.3220338983050847,0.4444444444444444
76,1,0.423728813559322,0.4444444444444444
77,3,0.5084745762711864,0.3333333333333333
78,3,0.4915254237288136,0.4444444444444444
79,3,0.5932203389830508,0.6666666666666666
80,3,0.6440677966101694,0.1111111111111111
81,1,0.423728813559322,0.4444444444444444
82,1,0.4406779661016949,0.4444444444444444
83,1,0.3728813559322034,0.5555555555555556
84,3,0.6271186440677966,0.1111111111111111
85,1,0.4576271186440678,0.4444444444444444
86,1,0.2711864406779661,1
87,3,0.7288135593220338,0.2222222222222222
88,1,0.288135593220339,1
89,1,0.3389830508474576,1
90,3,0.7627118644067796,0
91,1,0.3050847457627119,1
92,1,0.3559322033898305,0.2222222222222222
93,1,0.288135593220339,1
94,3,0.6440677966101694,0.1111111111111111
95,1,0.3728813559322034,1
96,1,0.3220338983050847,0.6666666666666666
97,1,0.4067796610169492,0.4444444444444444
98,3,0.5423728813559322,0.4444444444444444
99,3,0.4915254237288136,0.2222222222222222
100,1,0.3389830508474576,0.3333333333333333
101,1,0.3559322033898305,0.2222222222222222
102,1,0.3728813559322034,1
103,3,0.4406779661016949,0.4444444444444444
104,1,0.2542372881355932,0.6666666666666666
105,1,0.3728813559322034,0.4444444444444444
106,3,0.6101694915254238,0.2222222222222222
107,1,0.2711864406779661,0.4444444444444444
108,1,0.3220338983050847,1
109,1,0.288135593220339,0.2222222222222222
110,3,0.7288135593220338,0.1111111111111111
111,1,0.3050847457627119,1
112,3,0.6271186440677966,0.3333333333333333
113,3,0.6949152542372882,0.4444444444444444
114,1,0.23728813559322035,0.1111111111111111
115,1,0.423728813559322,0.6666666666666666
116,3,0.6949152542372882,0.4444444444444444
117,3,0.2033898305084746,0.7777777777777778
118,1,0.3559322033898305,0.3333333333333333
119,1,0.3220338983050847,0.3333333333333333
120,3,0.559322033898305,0.5555555555555556
121,1,0.2711864406779661,0.5555555555555556
122,1,0.2542372881355932,0.1111111111111111
123,1,0.3220338983050847,0.1111111111111111
124,1,0.3220338983050847,0.4444444444444444
125,3,0.3728813559322034,0.3333333333333333
126,3,0.5423728813559322,0.2222222222222222
127,3,0.4745762711864407,0.3333333333333333
128,1,0.3898305084745763,1
129,1,0.3050847457627119,0.2222222222222222
130,1,0.4915254237288136,1
131,3,0.4915254237288136,0.4444444444444444
132,3,0.3898305084745763,0.6666666666666666
133,1,0.3898305084745763,0.4444444444444444
134,1,0.3559322033898305,0.4444444444444444
135,3,0.4915254237288136,0.2222222222222222
136,3,0.4915254237288136,0.4444444444444444
137,1,0.3050847457627119,0.1111111111111111
138,1,0.288135593220339,0.3333333333333333
139,1,0.23728813559322035,0.4444444444444444
140,1,0.3898305084745763,0.4444444444444444
141,3,0.4915254237288136,0.4444444444444444
142,1,0.2542372881355932,1
143,3,0.5423728813559322,0.4444444444444444
144,1,0.3389830508474576,0.1111111111111111
145,1,0.3050847457627119,1
146,3,0.5084745762711864,0.5555555555555556
147,3,0.6101694915254238,0.4444444444444444
148,1,0.3220338983050847,0.4444444444444444
149,3,0.5084745762711864,0.6666666666666666
150,3,0.576271186440678,0.7777777777777778
151,1,0.4067796610169492,0.5555555555555556
152,3,0.6271186440677966,0.2222222222222222
153,1,0.3559322033898305,0.5555555555555556
154,1,0.3559322033898305,1
155,1,0.4406779661016949,0.6666666666666666
156,3,0.5423728813559322,0.3333333333333333
157,1,0.3898305084745763,0.5555555555555556
158,1,0.3389830508474576,1
159,1,0.3389830508474576,0.6666666666666666
160,3,0.5084745762711864,0.3333333333333333
161,3,0.5423728813559322,0.2222222222222222
162,1,0.2542372881355932,0.6666666666666666
163,1,0.3220338983050847,0.3333333333333333
164,3,0.6610169491525424,0.1111111111111111
165,3,0.4406779661016949,0.4444444444444444
166,1,0.3728813559322034,0.6666666666666666
167,3,0.559322033898305,0.3333333333333333
168,1,0.3389830508474576,0.4444444444444444
169,1,0.3050847457627119,1
170,1,0.3559322033898305,0.3333333333333333
171,3,0.5084745762711864,0.4444444444444444
172,3,0.23728813559322035,0.5555555555555556
173,1,0.3559322033898305,0.4444444444444444
174,3,0.5423728813559322,0.2222222222222222
175,1,0.3898305084745763,0.3333333333333333
176,1,0.4067796610169492,0.5555555555555556
177,1,0.3559322033898305,0.3333333333333333
178,1,0.3220338983050847,0.4444444444444444
179,3,0.7796610169491526,0.4444444444444444
180,3,0.4406779661016949,0.4444444444444444
181,3,0.5254237288135594,0.1111111111111111
182,3,0.4406779661016949,0.4444444444444444
183,3,0.5423728813559322,0.3333333333333333
184,3,0.559322033898305,0.3333333333333333
185,1,0.3389830508474576,0.7777777777777778
186,1,0.3559322033898305,0.3333333333333333
187,3,0.7796610169491526,0.5555555555555556
188,3,0.5084745762711864,0.3333333333333333
189,3,0.4067796610169492,0.2222222222222222
190,3,0.6440677966101694,0.5555555555555556
191,1,0.3559322033898305,0.3333333333333333
192,3,0.7288135593220338,0.3333333333333333
193,1,0.3220338983050847,0.3333333333333333
194,3,0.6779661016949152,0.3333333333333333
195,1,0.3050847457627119,0.2222222222222222
196,1,0.4406779661016949,1
197,1,0.23728813559322035,0.2222222222222222
198,1,0.3050847457627119,0.2222222222222222
199,3,0.4745762711864407,0.3333333333333333
200,1,0.423728813559322,0.5555555555555556
201,1,0.2542372881355932,0.2222222222222222
202,3,0.1864406779661017,0.4444444444444444
203,3,0.6440677966101694,0.3333333333333333
204,1,0.1864406779661017,1
205,1,0.4745762711864407,1
206,3,0.6271186440677966,0.2222222222222222
207,3,0.5254237288135594,0.4444444444444444
208,1,0.22033898305084745,0.2222222222222222
209,3,0.559322033898305,0.2222222222222222
210,1,0.2033898305084746,0.1111111111111111
211,1,0.23728813559322035,0.1111111111111111
212,3,0.4915254237288136,0.3333333333333333
213,1,0.3559322033898305,0.8888888888888888
214,1,0.23728813559322035,0.2222222222222222
215,3,0.423728813559322,0.4444444444444444
216,1,0.2542372881355932,0.3333333333333333
217,3,0.6271186440677966,0.5555555555555556
218,1,0.423728813559322,0.4444444444444444
219,1,0.3220338983050847,0.3333333333333333
220,1,0.3728813559322034,1
221,3,0.4067796610169492,0.5555555555555556
222,1,0.3050847457627119,1
223,1,0.288135593220339,0.3333333333333333
224,3,0.5932203389830508,0.2222222222222222
225,1,0.288135593220339,0.2222222222222222
226,3,0.559322033898305,0.4444444444444444
227,1,0.2542372881355932,0.3333333333333333
228,1,0.288135593220339,0.4444444444444444
229,1,0.3220338983050847,1
230,1,0.288135593220339,0.3333333333333333
231,1,0.3220338983050847,0.3333333333333333
232,3,0.5423728813559322,0.7777777777777778
233,3,0.6779661016949152,0.5555555555555556
234,1,0.3050847457627119,0.2222222222222222
